CODUSU,nro_hogar,ch03,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf,cat_ocup,pp03c,pp03i,pp10a,p21,tot_p12,t_vi,itf,ch12,ch13,ch14,pp3e_tot,pp3f_tot,df,rango_edad,adulto_esquiv,ID_hogar,ad_equiv_hogar,ingreso_necesario,pobre
142722  ,1.0,5.0,1.0,7.0,5.0,4.0,1.0,4.0,3.0,46.666666666666664,,,,,,,,280.0,3.0,2.0,02,0.0,0.0,T105,7 años,0.66,142722  -1.0,4.48,918.7136,1
143199  ,1.0,1.0,2.0,83.0,4.0,1.0,2.0,3.0,1.0,475.0,,,,,,,350.0,950.0,2.0,1.0,  ,0.0,0.0,T105,más de 75 años,0.63,143199  -1.0,1.4,287.09799999999996,0
143199  ,1.0,3.0,2.0,41.0,5.0,1.0,4.0,1.0,,475.0,3.0,1.0,1.0,,600.0,,,950.0,4.0,1.0,  ,44.0,0.0,T105,30 a 45 años,0.77,143199  -1.0,1.4,287.09799999999996,0
143361  ,1.0,1.0,2.0,50.0,3.0,4.0,1.0,1.0,,152.0,3.0,2.0,1.0,,330.0,108.0,,608.0,2.0,2.0,04,39.0,7.0,T105,46 a 60 años,0.76,143361  -1.0,3.3200000000000003,680.8324,1
143361  ,1.0,3.0,2.0,30.0,5.0,4.0,2.0,2.0,,152.0,3.0,,,5.0,,30.0,,608.0,2.0,1.0,  ,0.0,0.0,T105,30 a 45 años,0.77,143361  -1.0,3.3200000000000003,680.8324,1
143361  ,1.0,3.0,1.0,19.0,5.0,4.0,1.0,1.0,,152.0,3.0,1.0,2.0,,120.0,20.0,,608.0,2.0,2.0,04,5.0,0.0,T105,18 a 29 años,1.02,143361  -1.0,3.3200000000000003,680.8324,1
143361  ,1.0,3.0,2.0,16.0,5.0,4.0,2.0,3.0,3.0,152.0,,,,,,,,608.0,3.0,2.0,07,0.0,0.0,T105,16 años,0.77,143361  -1.0,3.3200000000000003,680.8324,1
143739  ,1.0,1.0,1.0,77.0,2.0,1.0,1.0,3.0,1.0,398.57142857142856,,,,,,,1250.0,2790.0,2.0,2.0,03,0.0,0.0,T105,más de 75 años,0.74,143739  -1.0,5.04,1033.5528,0
143739  ,1.0,2.0,2.0,64.0,2.0,1.0,1.0,3.0,4.0,398.57142857142856,,,,,,,,2790.0,2.0,2.0,04,0.0,0.0,T105,61 a 75 años,0.67,143739  -1.0,5.04,1033.5528,0
143739  ,1.0,3.0,2.0,46.0,2.0,1.0,5.0,3.0,3.0,398.57142857142856,,,,,,,,2790.0,7.0,2.0,04,0.0,0.0,T105,46 a 60 años,0.76,143739  -1.0,5.04,1033.5528,0
