,log_precio_m2,log_precio_m2,log_precio_m2,log_precio_m2,precio_m2,precio_m2,precio_m2,precio_m2,superficie_ref,superficie_ref,superficie_ref,superficie_ref,CantidadDormitorios,CantidadDormitorios,CantidadDormitorios,CantidadDormitorios
,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std
month,,,,,,,,,,,,,,,,
2022-11,304853,6.740255427850036,7.186945515283605,1.6025105757187121,304853,2259.248755296549,1322.0588235294117,78925.5531644308,304867,27293.391598303522,101.0,5206274.648348711,228884,2.3066225686373882,2.0,1.1292210727225953
2022-12,195197,6.763721319675707,7.22200437881864,1.5591761325555458,195197,2360.129272239993,1369.2307692307693,96548.91357193454,195211,17193.345835378128,115.0,3444504.0939283194,147654,2.4054343261950235,2.0,1.156618101674593
2023-01,76269,6.6275216449283825,7.138866999945524,1.8836736998065653,76269,5749.303900923461,1260.0,107239.7218975534,76269,7671.007519700009,120.0,1444256.5722939249,54640,2.2708821376281114,2.0,1.1128238244045439
2023-02,101908,6.955281800220661,7.151377361639887,2.097520026453297,101908,10031.80449509412,1275.8620689655172,35397.54460026322,101909,1414.2824189227645,102.0,45122.73249116212,75345,2.3035237905634083,2.0,1.0881079949747852
2023-03,154430,6.682067485045558,7.138488999563022,1.6760888581673794,154430,2027.592980799749,1259.5238095238096,24310.41014917839,154430,4354.67660713592,110.0,245078.67840798118,113467,2.3081424555157004,2.0,1.144420045846489
2023-04,149481,6.706430961783325,7.165584388284237,1.6411014987878485,149481,1892.5936042378312,1294.1176470588234,10040.191335104128,149481,6712.782784902429,120.0,1020207.5755379474,109815,2.384910986659382,2.0,1.1729570307146915
2023-05,175711,6.60464187798645,7.098810515744846,1.6652419228365385,175711,2408.2668278456877,1210.5263157894738,64387.03980592343,175717,1304772.5764556078,120.0,222050234.5304667,124533,2.366360723663607,2.0,1.1176250910520382
2023-06,219392,6.6879546566470855,7.138181219315688,1.589660315908884,219392,2509.754399303673,1259.1362126245847,58578.44506405668,219394,2973.8086239824243,114.82,211085.52789502742,160047,2.3400063731278937,2.0,1.1212410614016057
2023-07,326071,6.706879584279345,7.176019265576817,1.6904119660568897,326071,2033.9606815661748,1307.6923076923076,73849.45046936309,326122,77594.36231827353,104.0,14788884.208498504,239019,2.300147687003962,2.0,1.1103957437886194
2023-08,273299,6.6694774417178335,7.148917335799025,1.6439729954440676,273299,1843.9301131266197,1272.7272727272727,12731.576539380812,273301,96436.85454755015,110.0,16678926.518979834,196143,2.2954018241792977,2.0,1.1096016252084062
2023-09,451782,6.6466685822155025,7.1389960405289665,1.7870804693337559,451782,2323.8777304073133,1260.1626016260163,67938.22269442273,451790,191269.22300546715,108.0,31865940.366657857,325264,2.317889468247331,2.0,1.1260542154769608
2023-10,391431,6.681247051968682,7.148917335799025,1.6239577087622128,391431,2268.5576406505465,1272.7272727272727,72766.64539134255,391461,22934.212120185664,118.0,2761839.216164715,285281,2.3722364966471656,2.0,1.1330288714511692
2023-11,386077,6.7083419078298405,7.166238196741656,1.5655235896131208,386077,2663.7800605873863,1294.9640287769785,93709.85958668787,386090,50362.13773306742,110.0,10650371.35918992,274326,2.3136596604040447,2.0,1.1306330132883133
2023-12,348629,6.672707898344704,7.145228655851172,1.6100168960136838,348629,2105.678384605054,1268.041237113402,73370.77397480317,348637,16635.43077464526,115.0,1406104.8873890708,250525,2.34490769384293,2.0,1.128669473540301
2024-01,380641,6.6358525590122595,7.113199253196946,1.5851615071983944,380641,2262.088423764756,1228.0701754385964,74848.18491190978,380649,839135.8146667664,120.0,266326314.939777,267480,2.3345147300732765,2.0,1.1259414878986922
2024-02,333429,6.612889773123237,7.100127171629593,1.6851172682014746,333429,3997.97869271937,1212.121212121212,343400.98613374535,333455,737842.6747328425,117.0,152674287.6826475,234911,2.3439685668189227,2.0,1.1246909656738027
2024-03,365982,6.6764746101597705,7.147896406664918,1.5744391847456896,365982,2080.1372395854814,1271.4285714285713,80768.74461220329,366027,160762.53171402655,110.0,38592440.65249728,259607,2.3155192271394838,2.0,1.1444456979291855
