Barrio,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
Nuestra Señora De Lourdes,,,,,,,,,,,,,,,,,,,,,,,7.336750884500495,7.464326924536332,7.309687839194073,7.343073350239982,7.24422751560335,7.347050251608707,7.383789077254463,7.376292316065762,7.4376676990675055,7.2787875829493025,7.367287608360577,7.422654228135763,7.362010551259734,7.500494200202723,7.313220387090301,7.342207923963554,7.355184586189334,7.333839674293037,7.367287608360577,7.382213258577253,7.313220387090301,7.358830898342354,7.395050405337933,7.358986758981507,7.303650936074151,7.3344225947409045,7.418580902748128,,7.2972200457438605,7.397840849865725,7.418580902748128,7.265641610107166,7.226209010100671,7.410176938154127,7.386687538972174,7.349639049066434,7.420018717517755,7.432194202848265,7.3213175973229205,7.393263094763838,7.359740402725194,7.418580902748128,7.418580902748128,7.492268618539287,7.417329337639069,7.406002120541268,7.456965145756443,7.495541943884256,7.456321230730975,7.501634457883413,7.569153761227502,7.524529480757509,7.505592279737757,7.536363938404511,7.558165367085728,7.524529480757509,7.565811139730812,7.546640363602143,7.586436630003448,7.560080465021827
Nueva Cordoba,7.448322871946865,7.501272618593241,7.0086811975720975,7.536363938404511,7.441837764912395,7.4673710669175595,6.907755278982137,7.4432735153384995,7.590852123688581,7.600902459542082,7.487573774235079,7.77525584668686,7.495541943884256,7.487573774235079,7.580423928198542,7.473069088032197,7.600902459542082,7.418580902748128,7.473288295741061,7.313220387090301,7.3495880312611765,7.346010209913293,7.22983877815125,7.35670549903004,7.348397114275386,7.311897673609935,7.250700030108967,7.275480059107454,7.230356242587118,7.313220387090301,7.329749689041512,7.170119543449628,7.335836272304489,7.272869091566734,7.224908619250643,7.222566018822171,7.166329267275847,7.254951478966325,7.25811656962542,7.256061973250353,7.2972200457438605,7.205006802450069,7.213633206489694,7.2288030452777186,7.254809624933887,7.220847066959286,7.2736895483336665,7.226621296233084,7.277773638094554,7.31722840848784,7.313220387090301,7.409406333414029,7.282448728423548,7.27458480372056,7.266700371455409,7.269869946216687,7.226209010100671,7.405157882415987,7.237996965852714,7.2472624192985045,7.406361366095327,7.261909548689206,7.438383530044307,7.429052202615423,7.468987570432127,7.383508465000734,7.344480565580969,7.525190637806386,7.3495880312611765,7.429292558343056,7.523941418405954,7.364703039556238,7.508529139411067,7.467363924009396,7.5267944873883605,7.494569161772867,7.43317970216928,7.578897489043861,7.411837520072087,7.408530566894626,7.4673710669175595,7.421513462474326
Nuñez,7.9062841090932645,,8.277520338150817,8.265878763135332,8.699514748210191,8.211811541865055,8.169692623753546,8.180720954795024,8.269289090421376,8.111728083308073,8.294049640102028,8.160518247477505,8.234151498520959,8.332764152282717,8.255434803974248,8.082170531065747,8.147440902738406,8.075960859449442,8.152550077828328,8.090674674110241,8.01820202529725,8.099872366931704,8.012637180663843,7.977879703776933,7.989560449333865,8.038455882201747,7.992944547318106,7.99799931797973,8.00050244819785,8.102990017364787,7.917239787754239,7.98426722064958,7.913287099686723,7.961445880258735,7.878113232126568,7.865288969390341,7.93329386772832,7.885006710645979,7.8632667240095735,7.897168275685255,7.8347461960560345,7.8929229335924616,7.8670120467397355,7.88120442469624,7.883765245557915,7.870632690935728,7.8283844124548905,7.870031124098116,7.784825297703011,7.801573155004234,7.828480607924158,7.8681716699847914,7.846518866708351,7.8662209359070046,7.8948150817444995,7.8632667240095735,7.876005749787003,7.933608213367818,7.8632667240095735,7.920672846545364,7.879615862011103,7.911057387845922,7.9157131993821155,7.980392081246986,7.957577403480815,8.006367567650246,7.993122340900226,8.03376654183836,8.017601203128523,8.036220530799929,8.056919846813079,8.020452307531986,8.129076721642686,8.116592708424811,8.15567505027823,8.111728083308073,8.128880142125638,8.12862117289151,8.166536319803068,8.163553151172659,8.160518247477505,8.121880454772091
Olivos Golf,,,7.824046010856292,,8.383661798791715,,7.287868795892887,7.6761258807796695,,,,,7.626435761547247,8.070906088787819,7.419886986896174,7.641724454062338,7.590784329376498,7.487573774235079,7.482296717134235,7.299350539226151,7.5769696933304544,7.852216887822989,7.447359867298171,7.66086592430964,7.654125016773397,7.667593834040755,7.52294091807237,7.600902459542082,7.5267944873883605,7.6761258807796695,7.565535315704791,7.538722655864921,7.5136368849811035,7.355780001509097,7.438989774379335,7.358412381281675,7.505592279737757,7.484830288289328,7.376469417398001,7.430108407919195,7.513891082552453,7.286091719702049,7.49333109550674,7.3495880312611765,7.495541943884256,7.3648251594433045,7.6278099124620065,7.480840049580715,,,,,,,7.192908905080559,,7.254512786263524,7.403543025383588,7.374129140177294,7.367287608360577,7.5068167017131735,7.407528380454311,7.276041383848548,7.5068239153293606,7.465897227299259,7.55438244390719,7.340871918420811,7.453325415896842,7.454298985350207,7.287868795892887,7.453672222559398,7.495541943884256,7.541928643960434,7.588701522840461,7.461140517166924,7.686844889342807,7.520859751868546,7.501272618593241,7.582883954039404,7.520859751868546,7.497351666645862,7.524986975507772
Olivos Maipu/Uzal,7.479205524564563,7.7406644019172415,8.053485490627317,7.969326295969898,7.7123420212762905,8.279308183446991,7.893407138653795,7.855683095799475,8.156578649473424,8.11938173809383,7.0787130771257765,7.954458509696442,7.863487742907589,7.621422189773259,7.7528185015679245,7.529339323467546,7.808541824320327,7.781786201566409,7.477523438381578,8.081875120158392,7.785824798036094,7.799948459277232,7.840575312807503,7.833901287687019,7.707512194600341,7.7131144501490105,7.784604278804996,7.740346991979645,7.70155860437057,7.774035590281631,7.630101614234345,7.706262975199909,7.740346991979645,7.662777863260169,7.696212639346407,7.630934746640958,7.709116044182315,7.686844889342807,7.67143261034792,7.635035465911541,7.653700645109053,7.430141725149204,7.63746005527588,7.621242143779205,7.610452670353902,7.618602036641484,7.513891082552453,7.677442536664417,,,7.669170430671085,7.6363043865929985,7.630101614234345,7.66270943752567,7.593180413448172,7.406080739983897,7.798829014404927,7.661527081358517,7.631857803997413,7.59402958025432,7.6361490829731755,7.560824235974672,7.675032142416624,7.628553990872592,7.591852624022165,7.59402958025432,7.600902459542082,7.704202029379886,7.619251598210279,7.723241311734326,7.709116044182315,7.669895331029034,7.745402883537179,7.997317732130329,7.661527081358517,7.877927951805335,7.595914918031044,7.642485596917844,7.613222943930123,7.607062701736103,7.730114191022088,7.600902459542082
Olivos Quinta Presidencial,,,,8.207038263112398,8.673197439892819,,8.025912163723216,,8.601500062343643,8.042735211821121,,,8.621928511680146,12.676076274775909,,8.34283980427146,,8.124631488143981,8.469565142426983,8.306506745844835,8.688464912023607,7.884264870849347,8.022532504503602,7.795535307815487,7.824046010856292,8.028039432258483,7.853216388156072,7.851114572515306,7.721266141791958,7.791957696304792,7.841043587224863,8.000796522600792,7.817736841663027,8.572126910234076,7.919356190660617,7.718685495198466,7.960457866346169,7.803843303538772,7.776957974757391,7.820037989458753,7.600902459542082,7.641724454062338,7.70060181976517,7.706262975199909,7.655722738980884,7.77525584668686,7.724955108212061,7.615465436920615,,,,,,,7.600902459542082,,8.070906088787819,7.4673710669175595,7.558938260443051,7.600902459542082,7.9532183229833615,7.513891082552453,7.728564290001093,7.71567797413451,7.731522641959146,7.668206141438189,7.668206141438189,7.647183212106088,7.7440033031827555,7.824046010856292,7.8399193600125825,7.825536324925361,7.74608446938658,7.853245165548555,8.155213195247812,7.841337507966353,7.707570821225693,7.84730287302056,7.864862488104728,7.789493629349632,7.74608446938658,7.793627756521468
Olivos Uzal / Panamericana,,,,,,,7.8670609479565705,,,7.645899825472818,7.319735068111495,8.087807899590421,7.159069707263043,,,7.530284892328129,7.669895331029034,8.029898065060442,7.211437692780359,7.907427619795343,7.523941418405954,7.689313416886136,7.63864278752493,7.755053139369341,7.807238892539911,7.6632063428782375,7.683915311843443,7.387032545013202,7.637716432664798,7.7118595301280655,7.500579737914213,7.516003015755596,7.673223121121708,7.645926140916037,7.624432956952276,7.596573428170525,7.484642653426221,7.5810998322459024,7.819033469032748,7.706920653618879,7.516003015755596,7.465983141642711,7.282150710242233,7.418580902748128,7.473069088032197,7.910574062530374,7.232251324556635,7.505592279737757,,,,,,7.4002317640799316,7.335199293809077,7.807238892539911,7.5034471233913695,7.481101259729462,7.48822929703797,7.319735068111495,7.367287608360577,7.387980462299411,7.48822929703797,7.306911217897037,7.3777589082278725,7.587612640639726,7.434581244094569,7.5034471233913695,7.483119423885699,7.530698200868834,7.441395580514299,7.629889996415335,7.5227376866927465,7.431003422746685,7.5227376866927465,7.53322017268899,7.534551731398732,7.354042381610556,7.526413607551343,7.418580902748127,7.592818593489412,7.1308988302963465
Olivos Vias/Maipu,,,,7.847576508266486,8.077826531632391,,8.160518247477505,8.142499741974827,,,7.9492091538102985,,7.824046010856292,7.986564940354067,7.818146288729104,8.278301283133889,7.877155836170241,8.13901204225654,8.433811582477187,7.628301433730197,8.024716706318443,8.037080154337776,8.098482856558052,8.08956651150522,7.9999366773199565,7.989560449333865,7.927865693245415,7.866605625275088,8.024716706318443,8.037830837106032,7.877812435011952,8.090390301723284,7.858731568844182,7.929406526514119,7.847762537473608,7.935129743526869,8.039157390473237,7.981674955059876,7.847576508266486,7.834302511023481,7.951559331155252,7.883846785163464,8.012598117400882,7.8049978158855975,7.861786338839139,7.98997375787457,7.860999146426877,7.846550731521055,,,8.184978545047665,7.72226331654635,7.795646536334594,7.783224016336037,8.02168180262329,7.974381274270841,7.94330943168311,7.74806010387837,8.05329699987223,8.044469533333434,7.941335097379392,7.827675778906871,7.698882867902286,8.039157390473237,7.7992513522430755,8.009598588231693,7.990484998813213,7.84879900276302,7.661527081358517,8.014464777882866,7.7664168980196555,7.898153983010014,7.938926286854715,7.999610785187367,7.888584531993863,7.940118182109046,7.970815606824381,8.104006037214162,7.880963582180692,7.9721329830042835,7.970796101865379,7.993379824448616
Olivos Vias/Rio,8.790486526415918,8.32757233214067,8.430181814426607,8.374092347775564,,,8.765029355320818,8.015101247619,7.922486083669544,8.64581056923833,8.517193191416238,8.654814569292284,8.277963502350403,8.22282213081366,8.753581969480468,8.384142683629065,8.302488508747892,8.406261630708956,8.347670731541125,8.547652398900945,8.245259475932595,8.495686986195274,8.292932945401953,8.35964692258784,8.416097074544869,8.280804413352007,8.290135740780892,8.153470502812072,8.254828926948747,8.169996991432049,8.14783308795019,8.371481380234844,8.157657015196472,8.24093981478808,8.16264817373533,8.27603113459935,8.116715624819111,8.202482446576537,8.154993329384212,8.068402958569699,8.203535632561195,8.006367567650246,8.204331901514655,8.130420216320225,8.157917465777448,8.204436858604236,8.065208067673181,7.914642906208519,,,8.24093981478808,8.16264817373533,8.282231779201375,8.236290805949835,8.414677627890642,7.863783238124761,8.309553826637993,8.180025651900795,8.073261802480276,8.294049640102028,8.377756713313216,8.14946841129092,8.242756345714477,8.233945716032322,8.16264817373533,8.302081811799292,8.160518247477505,8.144307831553817,8.031685375634536,8.268731832117737,7.990733660911632,8.035566722342509,8.242756345714477,8.024716706318443,8.247186491085037,8.264675031422124,8.236591016105958,8.131530710604252,8.23689122626208,8.15719045738483,8.272070733383252,8.252358835632503
Once,,8.065208067673181,,7.486379030962737,7.686597180646965,,7.368028623585296,8.244778591095246,7.852886499718104,7.090076835776092,7.666849899466614,7.6842840684811335,7.448561734960063,7.680945167215619,7.866605625275088,7.540683599549028,7.6336922823650735,7.866605625275088,7.536363938404511,7.45298232946546,7.642866658641115,7.487573774235079,7.582883954039404,7.556450696971249,7.505592279737757,7.536363938404511,7.436280479847529,7.541479039071281,7.501272618593241,7.385739796558886,7.536363938404511,7.446751779714824,7.435822709182633,7.452732391944634,7.391181928560013,7.378942041462384,7.198810035912557,7.313220387090301,7.31722840848784,7.330713544537819,7.392263594430754,7.374374810243632,7.30463664339891,7.333839674293037,7.263715426516072,7.300797867091744,7.307141341013919,7.364627619368575,7.323093768557719,7.45298232946546,7.3993710200981075,7.275480059107454,7.256061973250353,7.483119423885699,7.309875893014903,7.330713544537819,7.397226127400048,7.233177679416765,7.270160897629855,7.3860038551582345,7.343073350239982,7.277502304488222,7.319735068111495,7.471100744221386,7.352441100243583,7.2858214129021865,7.30463664339891,7.344969085404882,7.344472930594406,7.310916235547204,7.424237781448264,7.313220387090301,7.480884786084283,7.27931883541462,7.33061212980217,7.416791992074186,7.372060887113235,7.333839674293037,7.440559809466903,7.3685704821734666,7.3529243283301655,7.344472930594406
Otro,,,,,,7.5995501942920685,,6.895016253204707,7.042627464864694,,,3.6769508832486624,,7.661527081358517,7.351247782679541,,6.3875619052125465,6.51134000639389,7.044330813987888,7.155591442886719,7.3395376954076745,7.066360309158775,7.213136928533319,6.942846598793407,7.061905958809396,7.324107672444266,,7.111279043426695,6.876502735478033,7.070078129665365,7.176291065143689,7.264430222920869,7.117826748728994,7.2228363256220325,6.955008163832683,7.086447067725513,6.9707099392680965,7.147896406664918,6.731929801335009,7.044330813987888,6.977747650802172,7.049405796045164,7.197106075321961,7.018980914092362,6.89533275898358,7.204287139983618,6.684611727667927,7.159069707263043,,,,,,6.316331237608887,6.614946834271715,,6.369214924393809,6.631600711701424,6.264167167146743,7.312190472151551,6.214608098422191,6.683131342497493,6.431415831287316,6.398882780837028,6.551989839426246,6.040254711277414,6.063785208687608,6.0719517980206685,5.981208046940793,6.444132775543327,6.658959486099855,6.856461984594587,7.272514762977183,7.508529139411067,7.460888348091917,7.174383942236085,6.960399012467559,6.875532248361145,7.105703107528144,7.090076835776092,7.273215052476602,7.082959368007228
